"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Sullivan County, TN"	"47163"	50	156667	31.9
	"Sumner County, TN"	"47165"	39	180063	21.7
	"Tipton County, TN"	"47167"	20	61303	32.6
	"Union County, TN"	"47173"	11	19140	Unreliable
	"Warren County, TN"	"47177"	11	40516	Unreliable
	"Washington County, TN"	"47179"	38	127440	29.8
	"White County, TN"	"47185"	11	26653	Unreliable
	"Williamson County, TN"	"47187"	26	219107	11.9
	"Wilson County, TN"	"47189"	36	132781	27.1
	"Angelina County, TX"	"48005"	15	87791	Unreliable
	"Bell County, TX"	"48027"	22	340411	6.5
	"Bexar County, TX"	"48029"	279	1928680	14.5
	"Brazoria County, TX"	"48039"	36	354195	10.2
	"Brazos County, TX"	"48041"	12	220417	Unreliable
	"Burnet County, TX"	"48053"	10	46243	Unreliable
	"Cameron County, TX"	"48061"	14	422135	Unreliable
	"Collin County, TX"	"48085"	90	939585	9.6
	"Comal County, TX"	"48091"	22	134788	16.3
	"Dallas County, TX"	"48113"	402	2574984	15.6
	"Denton County, TX"	"48121"	72	806180	8.9
	"Ector County, TX"	"48135"	17	157462	Unreliable
	"Ellis County, TX"	"48139"	15	168499	Unreliable
	"El Paso County, TX"	"48141"	90	837918	10.7
	"Fort Bend County, TX"	"48157"	51	741237	6.9
	"Galveston County, TX"	"48167"	52	329431	15.8
	"Gregg County, TX"	"48183"	11	123745	Unreliable
	"Guadalupe County, TX"	"48187"	12	155265	Unreliable
	"Harris County, TX"	"48201"	560	4589928	12.2
	"Harrison County, TX"	"48203"	10	66534	Unreliable
	"Hays County, TX"	"48209"	20	204470	9.8
	"Henderson County, TX"	"48213"	12	79901	Unreliable
	"Hidalgo County, TX"	"48215"	27	849843	3.2
	"Hunt County, TX"	"48231"	14	92073	Unreliable
	"Jefferson County, TX"	"48245"	40	254679	15.7
	"Johnson County, TX"	"48251"	19	163274	Unreliable
	"Kaufman County, TX"	"48257"	13	118350	Unreliable
	"Lubbock County, TX"	"48303"	41	303137	13.5
	"McLennan County, TX"	"48309"	23	247934	9.3
	"Montgomery County, TX"	"48339"	77	556203	13.8
	"Nueces County, TX"	"48355"	68	361350	18.8
	"Orange County, TX"	"48361"	10	84964	Unreliable
	"Parker County, TX"	"48367"	19	129441	Unreliable
	"Potter County, TX"	"48375"	24	120832	19.9
	"Randall County, TX"	"48381"	19	132501	Unreliable
	"Smith County, TX"	"48423"	21	225290	9.3
	"Tarrant County, TX"	"48439"	229	2016872	11.4
	"Taylor County, TX"	"48441"	23	136535	16.8
	"Tom Green County, TX"	"48451"	19	118386	Unreliable
	"Travis County, TX"	"48453"	168	1199323	14.0
	"Van Zandt County, TX"	"48467"	10	54355	Unreliable
	"Webb County, TX"	"48479"	37	271193	13.6
	"Wichita County, TX"	"48485"	24	131838	18.2
	"Williamson County, TX"	"48491"	37	528718	7.0
	"Wise County, TX"	"48497"	10	64455	Unreliable
	"Box Elder County, UT"	"49003"	19	53139	Unreliable
	"Cache County, UT"	"49005"	15	122753	Unreliable
	"Carbon County, UT"	"49007"	14	20399	Unreliable
	"Davis County, UT"	"49011"	67	342281	19.6
	"Iron County, UT"	"49021"	14	49937	Unreliable
	"Salt Lake County, UT"	"49035"	278	1121354	24.8
	"Summit County, UT"	"49043"	10	40307	Unreliable
	"Tooele County, UT"	"49045"	10	64833	Unreliable
	"Utah County, UT"	"49049"	108	592299	18.2
