"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	188097	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	718828	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	1707305	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"15-24 years"	"15-24"	75	2125387	3.5
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"25-34 years"	"25-34"	144	2303342	6.3
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"35-44 years"	"35-44"	187	1985599	9.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"45-54 years"	"45-54"	259	2028325	12.8
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"55-64 years"	"55-64"	105	1630124	6.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"65-74 years"	"65-74"	15	961414	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	615137	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	279047	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			795	14542605	5.5
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	200896	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	726961	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	1703996	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"15-24 years"	"15-24"	87	2081303	4.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"25-34 years"	"25-34"	212	2363360	9.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"35-44 years"	"35-44"	199	1969673	10.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"45-54 years"	"45-54"	290	2019607	14.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"55-64 years"	"55-64"	136	1692016	8.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"65-74 years"	"65-74"	16	982758	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	610004	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	287381	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"			947	14637955	6.5
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	197652	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	741850	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	1710842	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"15-24 years"	"15-24"	94	2063778	4.6
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"25-34 years"	"25-34"	265	2415263	11.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"35-44 years"	"35-44"	231	1976081	11.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"45-54 years"	"45-54"	340	2008190	16.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"55-64 years"	"55-64"	153	1717655	8.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"65-74 years"	"65-74"	18	1033082	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	606870	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	293300	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"			1114	14764563	7.5
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	201433	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	753188	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	1705842	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"15-24 years"	"15-24"	102	2010408	5.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"25-34 years"	"25-34"	238	2471184	9.6
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"35-44 years"	"35-44"	233	1985406	11.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"45-54 years"	"45-54"	321	2000412	16.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"55-64 years"	"55-64"	213	1751359	12.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"65-74 years"	"65-74"	37	1072853	3.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	606948	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	299071	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"			1153	14858104	7.8
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	201491	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	769438	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	1706888	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"15-24 years"	"15-24"	107	1981843	5.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"25-34 years"	"25-34"	287	2519641	11.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"35-44 years"	"35-44"	253	1995436	12.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"45-54 years"	"45-54"	324	1993909	16.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"55-64 years"	"55-64"	210	1785273	11.8
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"65-74 years"	"65-74"	30	1110315	2.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	607272	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	301594	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"			1220	14973100	8.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	199983	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	774550	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	1706718	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"15-24 years"	"15-24"	141	1941649	7.3
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"25-34 years"	"25-34"	393	2557215	15.4
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"35-44 years"	"35-44"	320	2002213	16.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"45-54 years"	"45-54"	420	1984271	21.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"55-64 years"	"55-64"	275	1817726	15.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"65-74 years"	"65-74"	52	1151706	4.5
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	609047	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	303462	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"			1610	15048540	10.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	196457	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	754139	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	1719161	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"15-24 years"	"15-24"	173	1904751	9.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"25-34 years"	"25-34"	593	2575792	23.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"35-44 years"	"35-44"	488	1986406	24.6
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"45-54 years"	"45-54"	607	1955416	31.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"55-64 years"	"55-64"	431	1828512	23.6
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"65-74 years"	"65-74"	79	1188898	6.6
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"75-84 years"	"75-84"	11	614659	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	306019	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"			2384	15030210	15.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	196969	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	753760	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	1713709	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"15-24 years"	"15-24"	190	1874372	10.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"25-34 years"	"25-34"	675	2609051	25.9
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"35-44 years"	"35-44"	567	2001682	28.3
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"45-54 years"	"45-54"	717	1936723	37.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"55-64 years"	"55-64"	484	1850927	26.1
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"65-74 years"	"65-74"	113	1251486	9.0
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"75-84 years"	"75-84"	10	650353	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	324567	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"			2765	15163599	18.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	190464	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	738163	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	1689053	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"15-24 years"	"15-24"	158	1796097	8.8
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"25-34 years"	"25-34"	706	2551750	27.7
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"35-44 years"	"35-44"	674	1971397	34.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"45-54 years"	"45-54"	789	1867792	42.2
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"55-64 years"	"55-64"	613	1838159	33.3
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"65-74 years"	"65-74"	147	1267976	11.6
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"75-84 years"	"75-84"	16	664310	Unreliable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	322265	Suppressed
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"			3112	14897426	20.9
"Total"	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"					17500	177074317	9.9
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	177730	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	687279	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	1721205	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"15-24 years"	"15-24"	79	1828294	4.3
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"25-34 years"	"25-34"	178	1874245	9.5
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"35-44 years"	"35-44"	237	1774279	13.4
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"45-54 years"	"45-54"	306	1816503	16.8
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"55-64 years"	"55-64"	102	1303573	7.8
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"65-74 years"	"65-74"	15	749412	Unreliable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	548619	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	217738	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"			926	12698877	7.3
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	173664	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	682921	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	1696592	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"15-24 years"	"15-24"	85	1832217	4.6
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"25-34 years"	"25-34"	225	1874820	12.0
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"35-44 years"	"35-44"	288	1738766	16.6
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"45-54 years"	"45-54"	341	1815557	18.8
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"55-64 years"	"55-64"	128	1338772	9.6
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"65-74 years"	"65-74"	21	768241	2.7
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	537863	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	223468	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"			1100	12682881	8.7
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	171926	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	680495	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	1684961	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"15-24 years"	"15-24"	81	1838966	4.4
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"25-34 years"	"25-34"	235	1882783	12.5
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"35-44 years"	"35-44"	264	1704460	15.5
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"45-54 years"	"45-54"	339	1814386	18.7
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"55-64 years"	"55-64"	133	1388063	9.6
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"65-74 years"	"65-74"	18	782556	Unreliable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	525480	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	230326	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"			1075	12704402	8.5
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	171229	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	682370	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	1677090	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"15-24 years"	"15-24"	110	1836346	6.0
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"25-34 years"	"25-34"	270	1882148	14.3
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"35-44 years"	"35-44"	259	1684644	15.4
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"45-54 years"	"45-54"	348	1804527	19.3
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"55-64 years"	"55-64"	160	1432084	11.2
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"65-74 years"	"65-74"	15	790180	Unreliable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	519709	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	234592	Suppressed
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"			1172	12714919	9.2
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	178966	Suppressed
